variable_name,sex,min_age,max_age
B01001_001E,total,0,255
B01001_002E,male,0,255
B01001_003E,male,0,4
B01001_004E,male,5,9
B01001_005E,male,10,14
B01001_006E,male,15,17
B01001_007E,male,18,19
B01001_008E,male,20,20
B01001_009E,male,21,21
B01001_010E,male,22,24
B01001_011E,male,25,29
B01001_012E,male,30,34
B01001_013E,male,35,39
B01001_014E,male,40,44
B01001_015E,male,45,49
B01001_016E,male,50,54
B01001_017E,male,55,59
B01001_018E,male,60,61
B01001_019E,male,62,64
B01001_020E,male,65,66
B01001_021E,male,67,69
B01001_022E,male,70,74
B01001_023E,male,75,79
B01001_024E,male,80,84
B01001_025E,male,85,255
B01001_026E,female,0,255
B01001_027E,female,0,4
B01001_028E,female,5,9
B01001_029E,female,10,14
B01001_030E,female,15,17
B01001_031E,female,18,19
B01001_032E,female,20,20
B01001_033E,female,21,21
B01001_034E,female,22,24
B01001_035E,female,25,29
B01001_036E,female,30,34
B01001_037E,female,35,39
B01001_038E,female,40,44
B01001_039E,female,45,49
B01001_040E,female,50,54
B01001_041E,female,55,59
B01001_042E,female,60,61
B01001_043E,female,62,64
B01001_044E,female,65,66
B01001_045E,female,67,69
B01001_046E,female,70,74
B01001_047E,female,75,79
B01001_048E,female,80,84
B01001_049E,female,85,255
